Scenario,Avg_Delay_s,Avg_Saturation,Avg_Queue_Veh,Avg_Inflow_PCU,Avg_TotalDemand,Avg_Residual_NGE,Avg_Capacity,Active_Records
CROW_AD_NGA3,25.765777777777778,0.6113333333333333,7.586666666666669,645.6157777777778,670.2104444444444,0.9233333333333332,1354.1911111111112,45
CROW_FT_NGA3,26.68644444444444,0.7233333333333333,8.099555555555556,736.6980000000001,773.5924444444445,1.320888888888889,1348.4206666666664,45
CROW_IN_NGA3,27.655555555555555,0.6475000000000001,8.26861111111111,706.7733333333333,726.2383333333332,1.0930555555555557,1354.4794444444442,36
