Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
133,-16.08,48.4639,1.51,38.1,41.7
134,-14.75,37.0867,1.46,36.8,41.7
135,-17.75,54.0993,1.47,32.2,41.7
136,-14.17,42.9138,1.53,29.1,41.8
137,-21.75,73.7306,1.54,41.5,41.5
138,-13.5,31.4313,1.51,33.7,39.3
139,-18.42,51.7798,1.51,32.3,39.3
140,-19.25,67.7143,1.5,28.1,39.4
141,-16.75,51.264,1.52,28.6,39.4
142,-15.83,51.3271,1.53,24.6,39.4
143,-12.33,30.6996,1.45,23.8,39.8
144,-18.08,56.387,1.56,33.2,40.5
145,-13.08,32.9242,1.59,35.6,39.8
146,-16.25,47.3426,1.56,34.8,39.9
147,-14.75,40.3121,1.61,35.9,39.9
148,-15.33,44.8105,1.52,45.0,39.9
149,-15.25,38.9761,1.63,48.2,39.9
150,-21.25,67.5231,1.78,45.3,39.9
151,-19.5,58.9371,1.55,64.8,40.0
152,-18.33,61.5875,1.68,55.0,39.9
153,-16.08,48.3777,1.75,46.7,40.0
154,-20.08,65.5497,1.73,57.8,40.1
155,-12.58,34.0076,1.74,57.8,40.3
156,-19.25,58.6996,1.69,47.1,41.9
157,-19.92,58.3099,1.55,65.7,42.4
158,-13.42,29.5434,3.02,68.2,42.2
159,-21.75,71.6159,1.84,56.6,42.3
160,-15.92,45.9744,1.45,52.3,42.3
161,-9.83,23.001,2.75,72.1,42.2
162,-8.75,18.7978,1.93,62.9,42.3
163,-11.5,29.6499,1.47,62.2,42.5
164,-20.5,58.9816,2.68,73.5,42.6
165,-16.25,47.185,1.8,61.0,42.7
166,-12.08,28.9583,1.5,62.4,42.8
167,-9.75,19.7821,2.14,68.6,43.1
168,-18.08,57.3958,1.84,55.6,43.6
169,-15.67,43.1722,7.78,96.9,43.5
170,-20.75,64.6058,1.61,68.2,44.0
171,-21.17,62.3789,2.01,74.7,44.0
172,-16.75,47.2221,2.21,70.0,44.1
173,-17.25,49.2052,1.65,60.9,44.5
174,-9.58,19.0816,1.51,65.6,45.0
175,-10.67,23.3862,1.75,56.6,45.3
176,-12.33,34.3071,1.49,55.8,45.6
177,-13.75,39.1525,3.24,75.2,45.4
178,-20.92,66.1191,1.91,57.4,45.4
179,-12.0,27.2362,1.59,61.5,45.4
180,-13.5,35.5033,1.99,65.7,45.4
181,-11.25,24.1598,1.83,55.4,45.5
182,-6.67,9.1133,1.47,60.7,45.5
183,-16.75,48.6676,3.72,81.0,45.6
184,-13.67,30.4038,2.1,62.1,45.5
185,-10.25,22.1218,1.57,59.1,45.6
186,-15.08,42.3083,1.51,63.0,45.7
