Time,Lane,Delay_s,Queue_m,Saturation
420.0,537517150#2_2,30.0,0.0,0.0
420.0,156084437#2.76_0,84.29,19.83,2.7
420.0,156084437#2.76_0,30.0,0.0,0.0
420.0,156084437#2.76_1,189.82,14.68,6.21
420.0,156084437#2.76_2,55.72,4.86,1.86
420.0,156084437#2.76_2,30.0,0.0,0.0
420.0,-156084515#1.105_0,53.41,23.33,0.9
420.0,-156084515#1.105_0,30.0,0.0,0.0
420.0,-156084515#1.105_0,30.0,0.0,0.0
420.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,156084447#2.35_0,84.29,19.83,2.7
480.0,156084447#2.35_0,30.0,0.0,0.0
480.0,156084447#2.35_1,177.69,14.49,5.81
480.0,156084447#2.35_2,82.23,16.33,1.16
480.0,156084447#2.35_2,30.0,0.0,0.0
480.0,156084447#2.35_2,30.0,0.0,0.0
480.0,537517150#2_0,149.63,22.17,4.8
480.0,537517150#2_1,228.29,18.18,7.45
480.0,537517150#2_2,55.72,4.86,1.86
480.0,537517150#2_2,30.0,0.0,0.0
480.0,156084437#2.76_0,33.61,2.33,1.2
480.0,156084437#2.76_0,30.0,0.0,0.0
480.0,156084437#2.76_1,69.96,3.99,2.32
480.0,156084437#2.76_2,27.81,0.0,0.58
480.0,156084437#2.76_2,30.0,0.0,0.0
480.0,-156084515#1.105_0,54.0,18.67,1.8
480.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,-156084515#1.105_0,30.0,0.0,0.0
