Scenario,Avg_Delay_s,Avg_Saturation,Avg_Queue_Veh,Avg_Queue_m,Avg_Inflow_PCU,Avg_Outflow_PCU,Total_Records
FT,8.639555555555557,0.4723333333333333,1.0014444444444444,1.7295555555555555,572.7271111111112,563.9395555555556,90
IN,10.004299999999999,0.44439999999999996,1.4653,1.9699,519.8179999999999,518.4548,100
AD,10.152777777777779,0.4863333333333334,1.0482222222222222,2.4087777777777775,575.7575555555555,575.1517777777779,90
