Time,Lane,Delay_s,Queue_m,Saturation
420.0,537517150#2_2,300.0,66.5,0.0
420.0,156084437#2.76_0,183.59,58.45,2.7
420.0,156084437#2.76_0,300.0,58.45,0.0
420.0,156084437#2.76_1,300.0,45.5,43.2
420.0,156084437#2.76_2,300.0,28.35,14.4
420.0,156084437#2.76_2,300.0,28.35,0.0
420.0,-156084515#1.105_0,77.25,36.75,1.8
420.0,-156084515#1.105_0,300.0,36.75,0.0
420.0,-156084515#1.105_0,300.0,36.75,0.0
420.0,-156084515#1.105_0,300.0,36.75,0.0
480.0,156084447#2.35_0,300.0,142.45,2.4
480.0,156084447#2.35_0,300.0,142.45,0.0
480.0,156084447#2.35_1,300.0,98.35,210000.0
480.0,156084447#2.35_2,300.0,35.0,90000.0
480.0,156084447#2.35_2,300.0,35.0,0.0
480.0,156084447#2.35_2,300.0,35.0,0.0
480.0,537517150#2_0,300.0,252.7,6.0
480.0,537517150#2_1,300.0,218.75,5.4
480.0,537517150#2_2,219.76,73.5,2.1
480.0,537517150#2_2,300.0,73.5,0.0
480.0,156084437#2.76_0,141.91,44.45,1.2
480.0,156084437#2.76_0,300.0,44.45,0.0
480.0,156084437#2.76_1,300.0,66.5,90000.0
480.0,156084437#2.76_2,300.0,35.35,30000.0
480.0,156084437#2.76_2,300.0,35.35,0.0
480.0,-156084515#1.105_0,131.43,71.75,2.55
480.0,-156084515#1.105_0,300.0,71.75,0.0
480.0,-156084515#1.105_0,300.0,71.75,0.0
480.0,-156084515#1.105_0,300.0,71.75,0.0
540.0,156084447#2.35_0,300.0,177.45,3.3
540.0,156084447#2.35_0,300.0,177.45,0.0
540.0,156084447#2.35_1,300.0,154.35,240000.0
540.0,156084447#2.35_2,300.0,84.0,210000.0
540.0,156084447#2.35_2,300.0,84.0,0.0
540.0,156084447#2.35_2,300.0,84.0,0.0
540.0,537517150#2_0,300.0,364.7,11.4
540.0,537517150#2_1,300.0,288.75,7.8
540.0,537517150#2_2,218.63,73.5,1.8
540.0,537517150#2_2,300.0,73.5,0.0
540.0,156084437#2.76_0,143.93,44.45,1.8
540.0,156084437#2.76_0,300.0,44.45,0.0
540.0,156084437#2.76_1,300.0,87.5,90000.0
540.0,156084437#2.76_2,300.0,49.35,60000.0
540.0,156084437#2.76_2,300.0,49.35,0.0
540.0,-156084515#1.105_0,212.25,127.75,3.0
540.0,-156084515#1.105_0,300.0,127.75,0.0
540.0,-156084515#1.105_0,300.0,127.75,0.0
540.0,-156084515#1.105_0,300.0,127.75,0.0
600.0,156084447#2.35_0,300.0,191.45,2.4
600.0,156084447#2.35_0,300.0,191.45,0.0
600.0,156084447#2.35_1,300.0,196.35,180000.0
600.0,156084447#2.35_2,300.0,105.0,90000.0
600.0,156084447#2.35_2,300.0,105.0,0.0
600.0,156084447#2.35_2,300.0,105.0,0.0
600.0,537517150#2_0,300.0,427.7,7.2
600.0,537517150#2_1,300.0,337.75,6.0
600.0,537517150#2_2,237.76,80.5,2.1
600.0,537517150#2_2,300.0,80.5,0.0
600.0,156084437#2.76_0,163.06,51.45,2.1
600.0,156084437#2.76_0,300.0,51.45,0.0
600.0,156084437#2.76_1,300.0,122.5,150000.0
600.0,156084437#2.76_2,300.0,77.35,120000.0
600.0,156084437#2.76_2,300.0,77.35,0.0
600.0,-156084515#1.105_0,173.68,113.75,1.5
600.0,-156084515#1.105_0,300.0,113.75,0.0
600.0,-156084515#1.105_0,300.0,113.75,0.0
600.0,-156084515#1.105_0,300.0,113.75,0.0
660.0,156084447#2.35_0,300.0,191.45,1.8
660.0,156084447#2.35_0,300.0,191.45,0.0
660.0,156084447#2.35_1,300.0,204.75,4.5
660.0,156084447#2.35_2,300.0,95.2,0.75
660.0,156084447#2.35_2,300.0,95.2,0.0
660.0,156084447#2.35_2,300.0,95.2,0.0
660.0,537517150#2_0,300.0,455.7,4.2
660.0,537517150#2_1,300.0,371.35,5.73
660.0,537517150#2_2,276.22,70.7,1.23
660.0,537517150#2_2,300.0,70.7,0.0
660.0,156084437#2.76_0,200.27,65.45,2.4
660.0,156084437#2.76_0,300.0,65.45,0.0
660.0,156084437#2.76_1,300.0,151.9,11.25
660.0,156084437#2.76_2,300.0,80.15,2.25
660.0,156084437#2.76_2,300.0,80.15,0.0
660.0,-156084515#1.105_0,165.91,106.75,1.65
660.0,-156084515#1.105_0,300.0,106.75,0.0
660.0,-156084515#1.105_0,300.0,106.75,0.0
660.0,-156084515#1.105_0,300.0,106.75,0.0
720.0,156084447#2.35_0,300.0,177.45,1.2
720.0,156084447#2.35_0,300.0,177.45,0.0
720.0,156084447#2.35_1,300.0,204.75,1.8
720.0,156084447#2.35_2,102.26,46.2,0.4
720.0,156084447#2.35_2,300.0,46.2,0.0
720.0,156084447#2.35_2,300.0,46.2,0.0
720.0,537517150#2_0,300.0,490.7,4.8
720.0,537517150#2_1,300.0,399.35,120000.0
720.0,537517150#2_2,300.0,98.7,120000.0
720.0,537517150#2_2,300.0,98.7,0.0
720.0,156084437#2.76_0,294.57,100.45,3.3
720.0,156084437#2.76_0,300.0,100.45,0.0
720.0,156084437#2.76_1,300.0,158.9,2.4
720.0,156084437#2.76_2,197.71,66.15,1.2
720.0,156084437#2.76_2,300.0,66.15,0.0
720.0,-156084515#1.105_0,146.68,92.75,1.5
720.0,-156084515#1.105_0,300.0,92.75,0.0
720.0,-156084515#1.105_0,300.0,92.75,0.0
720.0,-156084515#1.105_0,300.0,92.75,0.0
780.0,156084447#2.35_0,300.0,191.45,2.4
780.0,156084447#2.35_0,300.0,191.45,0.0
780.0,156084447#2.35_1,300.0,204.75,1.8
780.0,156084447#2.35_2,31.02,4.2,0.6
780.0,156084447#2.35_2,300.0,4.2,0.0
780.0,156084447#2.35_2,300.0,4.2,0.0
780.0,537517150#2_0,300.0,546.7,6.6
780.0,537517150#2_1,300.0,448.35,210000.0
780.0,537517150#2_2,300.0,126.7,120000.0
780.0,537517150#2_2,300.0,126.7,0.0
780.0,156084437#2.76_0,287.93,100.45,1.8
780.0,156084437#2.76_0,300.0,100.45,0.0
780.0,156084437#2.76_1,300.0,144.9,0.6
780.0,156084437#2.76_2,105.15,31.15,0.3
780.0,156084437#2.76_2,300.0,31.15,0.0
780.0,-156084515#1.105_0,69.07,36.75,0.6
780.0,-156084515#1.105_0,300.0,36.75,0.0
780.0,-156084515#1.105_0,300.0,36.75,0.0
780.0,-156084515#1.105_0,300.0,36.75,0.0
840.0,156084447#2.35_0,300.0,205.45,2.4
840.0,156084447#2.35_0,300.0,205.45,0.0
840.0,156084447#2.35_1,300.0,197.75,1.2
840.0,156084447#2.35_2,25.46,1.4,0.4
840.0,156084447#2.35_2,30.0,0.0,0.0
840.0,156084447#2.35_2,30.0,0.0,0.0
840.0,537517150#2_0,300.0,581.7,4.8
840.0,537517150#2_1,300.0,476.35,120000.0
840.0,537517150#2_2,300.0,133.7,30000.0
840.0,537517150#2_2,300.0,133.7,0.0
840.0,156084437#2.76_0,300.0,114.45,2.4
840.0,156084437#2.76_0,300.0,114.45,0.0
840.0,156084437#2.76_1,300.0,144.9,1.8
840.0,156084437#2.76_2,52.8,10.15,0.9
840.0,156084437#2.76_2,300.0,10.15,0.0
840.0,-156084515#1.105_0,19.2,0.0,0.0
840.0,-156084515#1.105_0,30.0,0.0,0.0
840.0,-156084515#1.105_0,30.0,0.0,0.0
840.0,-156084515#1.105_0,30.0,0.0,0.0
900.0,156084447#2.35_0,300.0,212.45,2.1
900.0,156084447#2.35_0,300.0,212.45,0.0
900.0,156084447#2.35_1,300.0,183.75,0.6
900.0,156084447#2.35_2,27.75,3.15,0.2
900.0,156084447#2.35_2,300.0,3.15,0.0
900.0,156084447#2.35_2,300.0,3.15,0.0
900.0,537517150#2_0,300.0,595.7,3.0
900.0,537517150#2_1,300.0,497.35,90000.0
900.0,537517150#2_2,300.0,133.7,0.0
900.0,537517150#2_2,300.0,133.7,0.0
900.0,156084437#2.76_0,300.0,149.45,3.3
900.0,156084437#2.76_0,300.0,149.45,0.0
900.0,156084437#2.76_1,300.0,151.9,2.4
900.0,156084437#2.76_2,46.51,7.35,1.2
900.0,156084437#2.76_2,300.0,7.35,0.0
900.0,-156084515#1.105_0,19.2,0.0,0.0
900.0,-156084515#1.105_0,30.0,0.0,0.0
900.0,-156084515#1.105_0,30.0,0.0,0.0
900.0,-156084515#1.105_0,30.0,0.0,0.0
960.0,156084447#2.35_0,300.0,219.45,2.1
960.0,156084447#2.35_0,300.0,219.45,0.0
