Time,Lane,Delay_s,Queue_m,Saturation
420.0,537517150#2_2,30.0,0.0,0.0
420.0,156084437#2.76_0,84.29,19.83,2.7
420.0,156084437#2.76_0,30.0,0.0,0.0
420.0,156084437#2.76_1,76.0,6.32,2.51
420.0,156084437#2.76_2,36.09,2.14,1.26
420.0,156084437#2.76_2,30.0,0.0,0.0
420.0,-156084515#1.105_0,37.49,10.25,1.05
420.0,-156084515#1.105_0,30.0,0.0,0.0
420.0,-156084515#1.105_0,30.0,0.0,0.0
420.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,156084447#2.35_0,84.29,19.83,2.7
480.0,156084447#2.35_0,30.0,0.0,0.0
480.0,156084447#2.35_1,244.96,18.37,8.0
480.0,156084447#2.35_2,38.67,2.63,1.33
480.0,156084447#2.35_2,30.0,0.0,0.0
480.0,156084447#2.35_2,30.0,0.0,0.0
480.0,537517150#2_0,149.63,22.17,4.8
480.0,537517150#2_1,200.96,17.79,6.55
480.0,537517150#2_2,48.53,4.08,1.64
480.0,537517150#2_2,30.0,0.0,0.0
480.0,156084437#2.76_0,33.61,2.33,1.2
480.0,156084437#2.76_0,30.0,0.0,0.0
480.0,156084437#2.76_1,80.49,4.37,2.67
480.0,156084437#2.76_2,38.21,1.75,0.67
480.0,156084437#2.76_2,30.0,0.0,0.0
480.0,-156084515#1.105_0,54.0,18.67,1.8
480.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,-156084515#1.105_0,30.0,0.0,0.0
