Case,Avg_Delay,Max_Queue,Avg_Saturation,Records
ad_500s_ngabavoi,66.23335526315789,6.417302631578948,1.6611184210526317,152
ft_500s_ngabavoi,69.62453947368421,7.1723026315789475,1.5901315789473685,152
in_500s_ngabavoi,70.11677631578948,7.0218421052631586,1.7598684210526316,152
