Time,Lane,Delay_s,Queue_m,Saturation
420.0,537517150#2_2,30.0,0.0,0.0
420.0,156084437#2.76_0,84.29,19.83,2.7
420.0,156084437#2.76_0,30.0,0.0,0.0
420.0,156084437#2.76_1,288.4,15.65,9.47
420.0,156084437#2.76_2,115.65,10.31,3.79
420.0,156084437#2.76_2,30.0,0.0,0.0
420.0,-156084515#1.105_0,53.41,23.33,0.9
420.0,-156084515#1.105_0,30.0,0.0,0.0
420.0,-156084515#1.105_0,30.0,0.0,0.0
420.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,156084447#2.35_0,84.29,19.83,2.7
480.0,156084447#2.35_0,30.0,0.0,0.0
480.0,156084447#2.35_1,131.44,13.42,4.29
480.0,156084447#2.35_2,77.14,20.71,0.86
480.0,156084447#2.35_2,30.0,0.0,0.0
480.0,156084447#2.35_2,30.0,0.0,0.0
480.0,537517150#2_0,149.63,22.17,4.8
480.0,537517150#2_1,300.0,19.25,12.0
480.0,537517150#2_2,91.02,7.0,3.0
480.0,537517150#2_2,30.0,0.0,0.0
480.0,156084437#2.76_0,33.61,2.33,1.2
480.0,156084437#2.76_0,30.0,0.0,0.0
480.0,156084437#2.76_1,51.15,2.92,1.71
480.0,156084437#2.76_2,26.75,0.0,0.43
480.0,156084437#2.76_2,30.0,0.0,0.0
480.0,-156084515#1.105_0,54.0,18.67,1.8
480.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,-156084515#1.105_0,30.0,0.0,0.0
480.0,-156084515#1.105_0,30.0,0.0,0.0

