controller,tls_id,lane_id,cycle_index,cycle_length_seconds,queue_length_meters,control_delay_seconds,degree_of_saturation,q_h_pcu_per_hour,lane_green_ratio,lane_green_seconds,mixed_saturation_flow_pcu_per_hour,outflow_pcu_per_cycle,inflow_pcu_per_cycle,observed_avg_wait_seconds
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_0,0,116.0,5.099137931034482,8.603580562659863e-05,0.32618825722274003,651.7241379310345,0.999,116.0,2000.0,21.0,24.0,10.474137931034482
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_1,0,116.0,2.46551724137931,20.22471910112359,0.48214285714285715,465.51724137931035,0.4827586206896552,56.0,2000.0,15.0,15.5,5.603448275862069
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_2,0,116.0,0.0,19.438444924406046,0.4178571428571428,403.44827586206895,0.4827586206896552,56.0,2000.0,13.0,13.5,0.0
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_3,0,116.0,9.413793103448276,19.067796610169484,0.3857142857142857,372.41379310344826,0.4827586206896552,56.0,2000.0,12.0,13.5,18.68103448275862
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_0,0,116.0,6.331896551724138,6.865306122448992e-05,0.1553277415346381,310.3448275862069,0.999,116.0,2000.0,10.0,18.5,15.836206896551724
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_1,0,116.0,3.7543103448275863,16.830122591943958,0.03333333333333333,31.03448275862069,0.46551724137931033,54.0,2000.0,1.0,4.5,7.301724137931035
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_2,0,116.0,12.10344827586207,17.377938517179025,0.09999999999999999,93.10344827586206,0.46551724137931033,54.0,2000.0,3.0,7.5,36.3448275862069
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_0,0,116.0,1.120689655172414,6.865306122448992e-05,0.1553277415346381,310.3448275862069,0.999,116.0,2000.0,10.0,11.0,0.7155172413793104
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_1,0,116.0,3.3620689655172415,17.716535433070863,0.2571428571428572,248.27586206896552,0.4827586206896552,56.0,2000.0,8.0,6.5,5.827586206896552
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_2,0,116.0,2.241379310344828,16.274864376130196,0.09642857142857142,93.10344827586206,0.4827586206896552,56.0,2000.0,3.0,3.0,7.068965517241379
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_0,0,116.0,3.081896551724138,6.395437262357427e-05,0.09319664492078285,186.20689655172413,0.999,116.0,2000.0,6.0,9.0,11.879310344827585
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_1,0,116.0,2.969827586206897,16.830122591943958,0.03333333333333333,31.03448275862069,0.46551724137931033,54.0,2000.0,1.0,2.0,12.336206896551724
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_2,0,116.0,2.0732758620689657,17.09964412811388,0.06666666666666667,62.06896551724138,0.46551724137931033,54.0,2000.0,2.0,4.0,6.060344827586207
ai_rl,J0,156084447#6_0,0,129.0,15.368217054263567,7.376329787234055e-05,0.1257071024512885,251.1627906976744,0.999,129.0,2000.0,9.0,20.0,58.10077519379845
ai_rl,J0,156084447#6_1,0,129.0,10.934108527131784,18.714622641509436,0.030000000000000002,27.906976744186046,0.46511627906976744,60.0,2000.0,1.0,7.5,33.36434108527132
ai_rl,J0,156084447#6_2,0,129.0,14.562015503875969,18.98325358851675,0.060000000000000005,55.81395348837209,0.46511627906976744,60.0,2000.0,2.0,9.0,48.89147286821706
ai_rl,J0,537517150#5_0,0,129.0,2.4186046511627906,0.00010122262773722647,0.36315385152594454,725.5813953488372,0.999,129.0,2000.0,26.0,25.5,3.10077519379845
ai_rl,J0,537517150#5_1,0,129.0,2.116279069767442,19.945054945054945,0.31428571428571433,306.9767441860465,0.4883720930232558,63.0,2000.0,11.0,11.5,4.077519379844961
ai_rl,J0,537517150#5_2,0,129.0,1.5116279069767442,18.150000000000002,0.14285714285714285,139.53488372093022,0.4883720930232558,63.0,2000.0,5.0,5.0,3.37984496124031
ai_rl,J0,156084437#5_0,0,129.0,9.573643410852712,7.376329787234055e-05,0.1257071024512885,251.1627906976744,0.999,129.0,2000.0,9.0,16.0,45.95348837209303
ai_rl,J0,156084437#5_1,0,129.0,1.9651162790697674,18.98325358851675,0.060000000000000005,55.81395348837209,0.46511627906976744,60.0,2000.0,2.0,3.5,3.441860465116279
ai_rl,J0,156084437#5_2,0,129.0,0.5038759689922481,18.714622641509436,0.030000000000000002,27.906976744186046,0.46511627906976744,60.0,2000.0,1.0,2.0,0.4108527131782946
ai_rl,J0,-156084515#1.87_0,0,129.0,9.422480620155039,8.303892215568878e-05,0.2234792932467351,446.51162790697674,0.999,129.0,2000.0,16.0,19.0,24.92248062015504
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_0,1,118.0,6.830508474576272,9.536986301369881e-05,0.38173766987326313,762.7118644067797,0.999,118.0,2000.0,25.0,21.5,17.135593220338983
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_1,1,118.0,4.186440677966101,22.935560859188538,0.6107142857142857,579.6610169491526,0.4745762711864407,56.0,2000.0,19.0,14.5,11.983050847457626
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_2,1,118.0,0.0,21.120879120879117,0.48214285714285715,457.6271186440678,0.4745762711864407,56.0,2000.0,15.0,12.5,0.0
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_3,1,118.0,20.216101694915256,19.93775933609958,0.38571428571428573,366.10169491525426,0.4745762711864407,56.0,2000.0,12.0,12.0,41.771186440677965
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_0,1,118.0,8.097457627118644,0.00010878125000000021,0.45808520384791573,915.2542372881356,0.999,118.0,2000.0,30.0,33.5,16.050847457627118
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_1,1,118.0,7.491525423728814,19.572301425661912,0.35357142857142854,335.59322033898303,0.4745762711864407,56.0,2000.0,11.0,16.5,21.75423728813559
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_2,1,118.0,18.61864406779661,19.572301425661912,0.35357142857142854,335.59322033898303,0.4745762711864407,56.0,2000.0,11.0,8.5,55.728813559322035
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_0,1,118.0,2.5338983050847457,7.502155172413807e-05,0.2137730951290273,427.1186440677966,0.999,118.0,2000.0,14.0,17.5,3.593220338983051
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_1,1,118.0,8.703389830508474,19.219999999999995,0.3214285714285714,305.08474576271186,0.4745762711864407,56.0,2000.0,10.0,9.0,36.101694915254235
ai_rl,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_2,1,118.0,0.22033898305084745,18.235294117647054,0.22499999999999998,213.5593220338983,0.4745762711864407,56.0,2000.0,7.0,6.5,0.059322033898305086
