controller,tls_id,lane_id,cycle_index,cycle_length_seconds,queue_length_meters,control_delay_seconds,degree_of_saturation,q_h_pcu_per_hour,lane_green_ratio,lane_green_seconds,mixed_saturation_flow_pcu_per_hour,outflow_pcu_per_cycle,inflow_pcu_per_cycle,observed_avg_wait_seconds
fixed_time_quang,J0,156084437#5_0,1,96.0,5.619791666666667,7.245283018867939e-05,0.33783783783783783,675.0,0.999,96.0,2000.0,18.0,19.0,12.677083333333334
fixed_time_quang,J0,156084437#5_1,1,96.0,3.520833333333333,14.64527027027027,0.16,150.0,0.46875,45.0,2000.0,4.0,6.0,5.135416666666667
fixed_time_quang,J0,156084437#5_2,1,96.0,8.9375,14.35430463576159,0.12,112.5,0.46875,45.0,2000.0,3.0,4.5,29.09375
fixed_time_quang,J0,-156084515#1.87_0,1,96.0,28.369791666666664,5.774436090225574e-05,0.16891891891891891,337.5,0.999,96.0,2000.0,9.0,13.0,56.364583333333336
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_0,1,96.0,3.588541666666667,8.170212765957461e-05,0.41291291291291293,825.0,0.999,96.0,2000.0,22.0,16.5,2.1979166666666665
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_1,1,96.0,2.4375,19.352678571428573,0.64,600.0,0.46875,45.0,2000.0,16.0,14.0,5.229166666666667
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_2,1,96.0,0.0,18.36864406779661,0.56,525.0,0.46875,45.0,2000.0,14.0,11.0,0.0
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_3,1,96.0,7.109375,16.673076923076923,0.4,375.0,0.46875,45.0,2000.0,10.0,11.0,18.729166666666668
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_0,1,96.0,7.583333333333334,8.439560439560456e-05,0.4316816816816817,862.5,0.999,96.0,2000.0,23.0,29.5,18.9375
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_1,1,96.0,3.859375,16.296992481203006,0.36,337.5,0.46875,45.0,2000.0,9.0,11.0,4.385416666666667
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_2,1,96.0,6.432291666666667,16.296992481203006,0.36,337.5,0.46875,45.0,2000.0,9.0,6.5,15.208333333333334
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_0,1,96.0,0.8802083333333333,5.907692307692319e-05,0.18768768768768768,375.0,0.999,96.0,2000.0,10.0,15.5,0.21875
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_1,1,96.0,6.364583333333333,15.264084507042254,0.24,225.0,0.46875,45.0,2000.0,6.0,4.5,16.760416666666668
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_2,1,96.0,1.9635416666666665,15.264084507042254,0.24,225.0,0.46875,45.0,2000.0,6.0,5.0,4.53125
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_0,1,96.0,5.213541666666667,5.774436090225574e-05,0.16891891891891891,337.5,0.999,96.0,2000.0,9.0,10.0,14.8125
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_1,1,96.0,2.4375,14.948275862068966,0.2,187.5,0.46875,45.0,2000.0,5.0,4.0,6.9375
fixed_time_quang,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_2,1,96.0,3.65625,14.35430463576159,0.12,112.5,0.46875,45.0,2000.0,3.0,3.0,7.916666666666667
fixed_time_quang,J0,156084447#6_0,2,96.0,40.895833333333336,5.525179856115118e-05,0.1313813813813814,262.5,0.999,96.0,2000.0,7.0,11.0,255.05208333333334
fixed_time_quang,J0,156084447#6_1,2,96.0,35.614583333333336,14.948275862068966,0.2,187.5,0.46875,45.0,2000.0,5.0,11.0,192.33333333333334
fixed_time_quang,J0,156084447#6_2,2,96.0,26.947916666666664,18.847826086956523,0.6,562.5,0.46875,45.0,2000.0,15.0,13.5,67.5
fixed_time_quang,J0,537517150#5_0,2,96.0,0.9479166666666667,6.508474576271198e-05,0.2627627627627628,525.0,0.999,96.0,2000.0,14.0,19.5,0.8125
fixed_time_quang,J0,537517150#5_1,2,96.0,0.47395833333333337,14.074675324675324,0.08,75.0,0.46875,45.0,2000.0,2.0,3.5,0.2916666666666667
