Scenario,Avg_Delay_s,Avg_Saturation,Avg_Queue_Veh,Avg_Inflow_PCU,Avg_TotalDemand,Avg_Residual_NGE,Avg_Capacity,Active_Records
FT_FULL_NGABAVOI,8.506292134831462,0.5313483146067416,3.435730337078652,772.8588764044944,788.8819101123596,0.2922471910112359,1513.386966292135,89
FT_DEBUG_NGABAVOI,9.06,0.5559999999999999,3.7586666666666675,789.327,803.3050000000001,0.29733333333333334,1479.9525,60
AD_DEBUG_NGABAVOI,9.5354,0.5118,3.914,740.0744,746.1346000000001,0.1804,1488.0495999999998,50
AD_FULL_NGABAVOI,9.890714285714285,0.5127142857142857,4.064571428571429,740.2485714285716,747.601857142857,0.2012857142857143,1489.7462857142855,70
IN_DEBUG_NGABAVOI,10.543400000000002,0.525,4.428,753.4494,764.1064,0.2792,1491.9468,50
IN_FULL_NGABAVOI,11.085666666666667,0.5583333333333333,4.884333333333333,792.7965,805.3905,0.3391666666666666,1495.3494999999998,60
