Scenario,Avg_Delay_s,Avg_Saturation,Avg_Queue_Veh,Avg_Inflow_PCU,Avg_TotalDemand,Avg_Residual_NGE,Avg_Capacity,Total_Cycles
FT_FULL_NGABAVOI,7.856769230769231,0.3637692307692308,2.352384615384616,529.1110769230769,540.1009230769232,0.20007692307692307,1480.4666153846154,13
FT_DEBUG_NGABAVOI,9.06,0.5559999999999999,3.7586666666666675,789.327,803.3050000000001,0.29733333333333334,1479.9525,6
AD_DEBUG_NGABAVOI,9.5354,0.5118,3.914,740.0744,746.1346000000001,0.1804,1488.0495999999998,5
IN_FULL_NGABAVOI,10.233833333333335,0.5303333333333333,4.3741666666666665,767.9223333333334,774.3256666666667,0.1825,1493.7524999999998,6
IN_DEBUG_NGABAVOI,10.543400000000002,0.525,4.428,753.4494,764.1064,0.2792,1491.9468,5
