Scenario,Avg_Delay_s,Avg_Saturation,Avg_Queue_Veh,Avg_Inflow_PCU,Avg_TotalDemand,Avg_Residual_NGE,Avg_Capacity,Active_Records
FEW_FT_NGA5,37.245681818181815,0.14,1.7565909090909095,96.57181818181817,96.57181818181817,0.0,1014.1115909090909,44
FEW_AD_NGA5,40.01272727272728,0.1302272727272727,1.7554545454545454,90.80499999999999,90.80499999999999,0.0,1015.6338636363635,44
FEW_IN_NGA5,44.28116279069768,0.11813953488372095,1.8746511627906977,82.21116279069768,82.21116279069768,0.0,1033.436046511628,43
NOR_FT_NGA5,49.01288888888889,0.5537777777777777,7.778,363.2393333333334,372.54688888888893,0.7786666666666666,1000.3311111111113,45
NOR_AD_NGA5,51.192,0.5268888888888887,7.9366666666666665,349.4724444444445,358.46577777777776,0.725111111111111,1002.5200000000003,45
NOR_IN_NGA5,53.68666666666666,0.46133333333333326,7.615333333333335,307.80688888888886,314.3113333333333,0.44044444444444447,1005.579111111111,45
CROW_FT_NGA5,101.54183333333334,1.3105,22.262833333333333,698.6273333333332,794.0988333333333,5.1025,1001.0423333333334,60
CROW_AD_NGA5,109.31266666666669,1.3288888888888888,24.461777777777776,786.2744444444444,844.8397777777781,5.5602222222222215,1002.5742222222225,45
CROW_IN_NGA5,109.74777777777778,1.210888888888889,24.66933333333333,715.5026666666666,772.3764444444444,5.231333333333334,1004.7073333333334,45
