Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent,GPU_VRAM_MB
1,-118.98882710933685,18.426612854003906,8.05,93.1,60.4,0.0
2,-129.43378347158432,18.278440475463867,8.14,98.4,60.4,0.0
3,-119.25257360935211,11.797649383544922,8.5,97.7,60.3,0.0
4,-136.74919760227203,7.657023906707764,13.24,97.2,60.2,0.0
5,-145.12443101406097,6.980268478393555,8.67,96.8,60.3,0.0
6,-141.59874165058136,13.608585357666016,9.3,98.5,60.3,0.0
7,-124.81004071235657,13.747464179992676,13.59,98.0,60.4,0.0
8,-113.65019232034683,8.31029224395752,8.5,96.0,61.0,0.0
9,-117.53784102201462,3.3335156440734863,13.27,98.9,60.4,0.0
10,-122.31540554761887,6.125112056732178,11.32,95.2,60.5,0.0
11,-120.52591300010681,4.700144290924072,10.1,96.7,60.4,0.0
12,-110.82902508974075,3.4152004718780518,11.5,95.1,60.9,0.0
13,-117.0687860250473,3.0593535900115967,15.65,99.4,60.9,0.0
14,-116.41992485523224,3.3051483631134033,14.77,98.4,61.0,0.0
15,-131.90321171283722,4.196475982666016,15.01,99.8,61.1,0.0
16,-123.61521035432816,4.412678241729736,17.39,99.9,61.7,0.0
17,-112.10145515203476,3.440650701522827,17.48,99.5,61.1,0.0
18,-116.72514146566391,3.6829466819763184,15.37,99.0,61.0,0.0
19,-145.25457566976547,5.508272171020508,12.53,99.3,61.1,0.0
20,-133.28789633512497,3.655372142791748,16.65,99.8,61.1,0.0
21,-135.11347824335098,3.430556058883667,10.27,99.6,61.2,0.0
22,-105.58283722400665,3.016667127609253,14.51,99.4,61.1,0.0
23,-114.11424142122269,2.7828969955444336,15.59,99.6,61.8,0.0
24,-109.49280452728271,2.3812999725341797,15.31,99.5,61.4,0.0
25,-115.65553802251816,2.608428478240967,14.49,99.7,61.0,0.0
26,-106.32304620742798,2.6054697036743164,17.69,99.6,61.4,0.0
27,-104.62006115913391,2.8105032444000244,18.41,100.0,62.3,0.0
28,-116.24749064445496,4.021206378936768,9.93,99.6,61.9,0.0
29,-116.92325139045715,2.4407105445861816,17.38,99.8,62.1,0.0
30,-120.9108704328537,2.232293128967285,15.27,99.3,62.1,0.0
31,-101.94453430175781,1.8919659852981567,11.59,99.8,62.1,0.0
32,-116.58352500200272,4.250612735748291,15.03,98.8,61.7,0.0
33,-118.43415397405624,3.424351215362549,14.73,99.2,62.1,0.0
34,-111.8278768658638,2.9940505027770996,15.44,98.8,62.3,0.0
35,-119.51370042562485,2.7099204063415527,15.09,99.0,62.3,0.0
36,-105.38045167922974,2.6039459705352783,14.4,97.4,62.2,0.0
37,-112.84609061479568,2.8055388927459717,11.87,98.0,62.1,0.0
38,-116.27211552858353,2.8393609523773193,13.13,99.9,63.5,0.0
39,-119.24619710445404,1.9981813430786133,11.79,99.8,62.1,0.0
40,-115.0344113111496,2.1024868488311768,15.03,99.0,62.3,0.0
41,-112.56079018115997,2.340933322906494,14.53,99.3,62.3,0.0
42,-117.04878026247025,1.9968478679656982,11.48,98.7,62.9,0.0
43,-124.72566813230515,1.5785049200057983,11.67,99.2,62.7,0.0
44,-120.72160369157791,2.270089864730835,15.37,99.7,62.9,0.0
45,-119.43328219652176,2.5766043663024902,13.44,98.4,62.9,0.0
46,-118.08393442630768,2.3214216232299805,14.6,95.7,62.5,0.0
47,-106.63484036922455,2.399392604827881,11.23,99.2,62.5,0.0
48,-116.30785548686981,2.20078706741333,12.13,98.3,62.6,0.0
49,-118.23850297927856,2.6319069862365723,15.06,99.7,62.2,0.0
50,-122.32009917497635,2.251188278198242,13.8,98.9,62.9,0.0
51,-117.73638480901718,1.8470687866210938,13.86,99.9,62.3,0.0
52,-112.22258585691452,1.7059390544891357,14.9,99.5,63.7,0.0
53,-114.4182031750679,1.6642099618911743,15.69,99.3,62.8,0.0
54,-108.16258251667023,2.625230312347412,12.06,99.7,62.7,0.0
55,-120.02354860305786,1.913576602935791,15.41,99.1,63.1,0.0
56,-112.8783210515976,1.2890294790267944,11.8,97.8,62.8,0.0
57,-122.59444642066956,2.1853179931640625,12.12,99.4,62.9,0.0
