Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent,GPU_VRAM_MB
1,-405.4193391799927,69.30064392089844,9.47,73.6,59.4,0.0
2,-377.58422815799713,63.705284118652344,7.95,83.3,59.4,0.0
3,-391.91052210330963,63.99886703491211,7.76,84.4,59.4,0.0
4,-372.66321635246277,52.76278305053711,8.65,90.5,59.4,0.0
5,-463.5820664167404,55.5007209777832,8.01,82.5,59.5,0.0
6,-434.4910867214203,37.32243728637695,8.33,86.8,59.6,0.0
7,-402.94110882282257,20.058481216430664,7.88,85.6,59.6,0.0
8,-390.059139251709,28.122276306152344,9.53,88.3,59.7,0.0
9,-370.6143184900284,36.193359375,9.91,87.6,59.6,0.0
10,-415.31476950645447,22.76868438720703,10.33,90.4,59.6,0.0
11,-379.4882456064224,17.483007431030273,7.85,82.2,59.6,0.0
12,-397.04803490638733,19.39820098876953,8.86,87.6,59.6,0.0
13,-442.4465539455414,23.535078048706055,7.39,78.4,59.6,0.0
14,-409.7451593875885,17.479936599731445,8.71,88.8,59.6,0.0
15,-380.4660505056381,20.736604690551758,7.98,81.6,59.7,0.0
16,-356.88303446769714,19.969995498657227,8.01,90.7,60.2,0.0
17,-393.3747684955597,17.486486434936523,12.05,97.1,60.2,0.0
18,-405.8400504589081,20.1112060546875,10.82,97.1,60.3,0.0
19,-372.4407048225403,16.66989517211914,14.68,97.4,60.2,0.0
20,-358.0496519804001,15.123554229736328,15.82,98.2,60.3,0.0
21,-417.67514181137085,22.73551368713379,15.72,97.4,60.4,0.0
22,-378.34403145313263,17.581985473632812,14.73,96.9,61.6,0.0
23,-402.0010256767273,16.29127311706543,12.73,96.1,60.3,0.0
24,-391.77054595947266,20.602962493896484,13.49,97.0,60.4,0.0
25,-429.74131894111633,17.758228302001953,9.85,94.4,61.0,0.0
26,-416.16247403621674,20.54248046875,18.05,99.5,61.0,0.0
27,-376.68003141880035,15.455815315246582,17.94,98.7,61.1,0.0
28,-366.4609178304672,18.40415382385254,14.5,99.8,61.1,0.0
29,-371.6212866306305,18.195510864257812,16.89,99.9,62.0,0.0
30,-356.8722085952759,13.85862922668457,18.51,99.5,61.2,0.0
31,-324.07855248451233,11.827916145324707,15.75,99.0,61.0,0.0
32,-393.0793626308441,21.969566345214844,19.18,99.4,61.2,0.0
33,-354.22056472301483,12.188139915466309,18.1,99.9,61.2,0.0
34,-352.3103538751602,12.89348030090332,18.33,99.3,61.1,0.0
35,-423.31502068042755,14.572747230529785,18.75,99.6,62.2,0.0
36,-338.7938029766083,16.17668914794922,15.93,99.5,61.2,0.0
37,-291.7611002922058,11.23348331451416,13.55,99.4,61.2,0.0
38,-384.761994600296,14.964344024658203,19.52,99.8,61.9,0.0
39,-365.91740345954895,10.333869934082031,18.1,100.0,62.0,0.0
40,-397.8914563655853,11.424324035644531,17.21,99.5,62.1,0.0
41,-380.6629545688629,15.122293472290039,19.37,99.5,62.1,0.0
42,-375.49381625652313,12.004639625549316,13.59,98.8,62.1,0.0
43,-310.8532626628876,9.926764488220215,15.25,99.6,61.7,0.0
44,-334.8960601091385,12.15346908569336,13.24,99.1,62.1,0.0
45,-328.2413923740387,9.93475341796875,14.47,98.7,62.2,0.0
46,-282.8729681968689,12.957261085510254,16.99,99.0,62.2,0.0
47,-311.31679821014404,11.267182350158691,15.12,97.4,62.3,0.0
48,-298.0880115032196,10.492326736450195,19.09,98.7,62.8,0.0
49,-301.4972622394562,10.023978233337402,16.56,99.9,62.3,0.0
50,-302.29472374916077,8.468969345092773,16.6,99.0,62.5,0.0
51,-328.1202164888382,10.621451377868652,17.18,99.5,62.3,0.0
52,-282.7706413269043,8.44060230255127,14.17,98.8,62.7,0.0
53,-281.0550329685211,6.165369510650635,16.84,99.2,62.7,0.0
54,-305.6517069339752,8.453417778015137,17.24,98.8,62.7,0.0
55,-248.29670786857605,9.14873218536377,16.07,96.0,62.4,0.0
56,-276.0399361848831,7.622706890106201,17.92,99.4,62.4,0.0
57,-267.10110569000244,5.880730152130127,18.93,98.7,62.2,0.0
58,-262.1719572544098,5.980005741119385,17.6,99.1,62.7,0.0
59,-256.3322296142578,7.113896369934082,18.65,99.9,62.8,0.0
60,-275.02001905441284,5.917327880859375,17.39,98.9,62.6,0.0
61,-253.74096488952637,4.846798896789551,16.53,99.8,62.8,0.0
62,-271.02652168273926,7.16807746887207,17.39,99.2,63.1,0.0
63,-242.07843589782715,5.157470226287842,16.77,98.5,62.8,0.0
64,-243.31588077545166,4.157479286193848,14.56,99.1,63.1,0.0
65,-257.0253212451935,6.6630425453186035,13.82,98.8,63.2,0.0
66,-222.07603907585144,3.978569746017456,14.98,98.7,62.7,0.0
67,-248.93611860275269,7.655972003936768,16.08,98.7,62.7,0.0
68,-237.41326999664307,4.998965263366699,15.19,99.2,62.7,0.0
69,-242.98818969726562,4.451228618621826,12.17,99.8,62.7,0.0
70,-227.52199137210846,2.7150719165802,16.59,99.0,62.6,0.0
71,-254.08509290218353,4.974278450012207,17.81,98.7,62.8,0.0
72,-257.2241050004959,7.674489498138428,14.96,98.2,62.9,0.0
73,-224.06754302978516,5.0175371170043945,12.53,97.9,63.1,0.0
74,-225.10614252090454,3.747664213180542,16.92,99.7,63.1,0.0
75,-234.40283632278442,3.5277576446533203,17.17,97.9,63.3,0.0
76,-251.236590385437,4.862109184265137,11.55,96.9,63.5,0.0
77,-239.99912858009338,4.252237796783447,14.93,97.5,63.5,0.0
78,-231.29672050476074,3.425438404083252,15.26,98.0,63.8,0.0
79,-235.6399962902069,3.939746141433716,14.03,99.4,63.8,0.0
80,-224.38858842849731,3.0310111045837402,13.32,94.5,64.0,0.0
81,-235.09658551216125,3.3904483318328857,6.66,76.1,63.9,0.0
82,-259.0426170825958,4.603264331817627,425.6,47.6,65.4,0.0
83,-247.3023452758789,3.5563178062438965,15.75,99.4,65.4,0.0
84,-249.9372376203537,4.133979797363281,11.99,96.6,65.4,0.0
85,-217.44038653373718,4.219753265380859,10.37,98.3,65.5,0.0
86,-237.298424243927,3.8674263954162598,12.34,99.2,65.5,0.0
87,-250.43862509727478,3.630889892578125,13.6,96.3,65.5,0.0
88,-255.18210101127625,4.491485118865967,12.91,99.5,65.5,0.0
89,-242.83415627479553,4.245873928070068,15.42,99.6,65.7,0.0
90,-246.3438959121704,3.6259052753448486,16.02,98.9,65.6,0.0
91,-264.95285725593567,4.887135028839111,14.72,98.4,65.6,0.0
92,-254.3762125968933,3.9099369049072266,16.64,98.1,65.6,0.0
93,-257.26109051704407,4.880042552947998,16.57,99.9,65.5,0.0
94,-240.07376527786255,3.9495723247528076,15.84,99.4,65.8,0.0
95,-264.3531427383423,5.50158166885376,16.76,97.4,65.7,0.0
96,-257.56472873687744,5.430931568145752,14.38,98.3,65.7,0.0
97,-262.1913626194,4.999957084655762,17.57,99.6,65.7,0.0
98,-250.0687437057495,4.973912239074707,17.08,99.6,65.7,0.0
99,-265.2717056274414,5.05497407913208,17.67,96.2,65.7,0.0
100,-249.29175925254822,4.1757988929748535,15.89,98.3,65.7,0.0
101,-217.98225092887878,4.035003185272217,14.55,99.6,65.8,0.0
102,-236.63163685798645,3.4925811290740967,14.69,97.8,65.8,0.0
103,-253.19896388053894,4.5533447265625,16.47,97.9,65.6,0.0
104,-231.29973793029785,5.064460754394531,13.37,98.4,65.8,0.0
105,-237.4195420742035,5.89544677734375,13.1,99.1,65.7,0.0
106,-243.54719066619873,5.349264621734619,14.93,99.7,65.7,0.0
107,-268.83000206947327,4.012768268585205,12.08,99.0,65.8,0.0
108,-245.27595734596252,3.7000226974487305,12.0,98.0,65.8,0.0
109,-249.02445721626282,4.169345855712891,9.7,97.6,65.8,0.0
110,-227.34490299224854,2.6454427242279053,17.29,98.5,65.8,0.0
111,-258.24669790267944,5.601143836975098,13.42,99.2,65.7,0.0
112,-237.62526392936707,3.909014940261841,11.49,98.4,65.8,0.0
113,-228.74604153633118,3.0842931270599365,10.63,95.1,65.9,0.0
114,-261.12317633628845,6.914504051208496,15.84,98.7,65.9,0.0
115,-225.03709208965302,3.5454366207122803,16.17,98.9,65.9,0.0
116,-247.25276112556458,3.6664116382598877,14.06,97.8,65.9,0.0
117,-220.8869857788086,3.2705886363983154,13.86,97.4,66.0,0.0
118,-219.9163429737091,4.343492031097412,16.53,99.1,66.0,0.0
119,-233.16483092308044,3.337986469268799,15.65,97.6,66.2,0.0
120,-218.3049292564392,4.735543727874756,13.17,98.0,66.0,0.0
121,-230.9249415397644,3.0783557891845703,15.71,99.2,66.0,0.0
122,-227.30168342590332,2.224173069000244,14.61,97.1,66.3,0.0
123,-225.752867937088,1.9387896060943604,13.16,99.4,66.2,0.0
124,-222.50165605545044,2.098388433456421,11.45,97.8,66.2,0.0
125,-220.65898036956787,1.6217873096466064,14.8,98.8,66.1,0.0
126,-226.1378800868988,1.48477303981781,14.19,98.9,66.2,0.0
127,-216.7085840702057,2.3518240451812744,15.12,99.1,66.5,0.0
128,-231.0832977294922,2.920419692993164,15.43,97.4,66.6,0.0
129,-230.20361495018005,2.5033042430877686,14.02,99.7,67.8,0.0
130,-223.35150051116943,2.335573196411133,15.33,98.1,66.5,0.0
131,-226.39607572555542,1.9648795127868652,15.57,98.6,67.3,0.0
132,-220.09030079841614,2.49314022064209,14.67,98.8,66.2,0.0
133,-221.1712121963501,2.062277317047119,16.05,98.7,66.2,0.0
134,-219.19935202598572,1.540382981300354,15.03,98.6,66.4,0.0
135,-227.14883375167847,1.7073675394058228,11.86,97.0,66.2,0.0
136,-227.86266779899597,3.164388418197632,11.58,95.1,66.2,0.0
137,-217.97310090065002,1.7589398622512817,12.74,97.9,66.2,0.0
138,-218.4795687198639,2.552940607070923,13.93,97.9,66.3,0.0
139,-220.69953286647797,2.092829942703247,16.03,97.8,66.3,0.0
140,-219.96376419067383,1.2440104484558105,14.69,99.3,66.3,0.0
141,-222.44877123832703,1.5326374769210815,11.8,98.2,66.4,0.0
142,-222.8024787902832,2.0649518966674805,16.23,98.3,66.2,0.0
143,-224.34374046325684,1.6195119619369507,12.25,97.2,66.3,0.0
144,-222.12036848068237,1.2982075214385986,11.98,97.5,66.4,0.0
145,-214.82141041755676,2.030097246170044,13.25,99.0,66.3,0.0
146,-231.5792577266693,3.8820531368255615,14.64,98.1,66.3,0.0
147,-231.5009869337082,2.910334587097168,16.07,98.6,66.5,0.0
148,-236.67855095863342,1.8288154602050781,14.28,99.3,66.4,0.0
149,-228.23504209518433,2.818777561187744,14.16,99.1,66.3,0.0
150,-216.85280346870422,3.9256157875061035,13.9,97.8,66.4,0.0
151,-217.95338463783264,2.1400766372680664,16.74,99.4,66.4,0.0
152,-220.2754464149475,2.292407751083374,15.9,99.1,66.5,0.0
153,-224.6985628604889,1.6880228519439697,15.81,97.0,66.3,0.0
154,-218.52890038490295,1.6589646339416504,11.91,95.9,66.6,0.0
155,-217.6819407939911,1.2659512758255005,15.27,98.1,66.4,0.0
156,-226.42295265197754,1.3042711019515991,15.81,96.6,66.7,0.0
157,-237.0987184047699,1.811068058013916,15.19,97.3,66.6,0.0
158,-224.57107520103455,1.7219634056091309,15.64,97.0,66.6,0.0
