scenario,tls_id,lane_id,fixed_delay,rl_delay,improve_delay_pct,fixed_queue,rl_queue,improve_queue_pct,fixed_saturation_raw,rl_saturation_raw,improve_saturation_raw_pct,fixed_saturation_norm,rl_saturation_norm,improve_saturation_norm_pct
normal_2intersection,J0,-156084515#1.87_0,29.543947684459198,18.45821338721684,37.52286057246748,0.0,0.0,nan,0.06490384691800827,0.08926271482237748,-37.53069973670634,0.032451923459004134,0.04463135741118874,-37.53069973670634
normal_2intersection,J0,156084437#5_0,29.632425039242474,18.411046384062086,37.868580247211696,0.0,0.0,nan,0.07692307787827957,0.0753619270665305,2.0294960300722487,0.03846153893913978,0.03768096353326525,2.0294960300722487
normal_2intersection,J0,156084437#5_1,29.96292984791291,18.412925958633423,38.54764519993699,0.0,0.0,nan,0.01333333303531011,0.006328345156673874,52.53741026407439,0.006666666517655055,0.003164172578336937,52.53741026407439
normal_2intersection,J0,156084437#5_2,30.07899536230625,18.47406224182674,38.5815183675394,0.0,0.0,nan,0.0302564103442889,0.02757778846259628,8.853072295135066,0.01512820517214445,0.01378889423129814,8.853072295135066
normal_2intersection,J0,156084447#6_0,29.661117089100372,18.44883564029421,37.801278404738035,0.0,0.0,nan,0.08164132386445999,0.09065979160368443,-11.046449656055055,0.040820661932229996,0.04532989580184221,-11.046449656055055
normal_2intersection,J0,156084447#6_1,30.040997407375237,18.46098586491176,38.5473604136077,0.0,0.0,nan,0.025175909105783854,0.022726292189742838,9.73000381336079,0.012587954552891927,0.011363146094871419,9.73000381336079
normal_2intersection,J0,156084447#6_2,30.211888851263584,18.53277654988425,38.65733903258043,0.0,0.0,nan,0.04923076851245684,0.04889578542539052,0.6804344055314976,0.02461538425622842,0.02444789271269526,0.6804344055314976
normal_2intersection,J0,537517150#5_0,29.61750612503443,18.446086187022072,37.71897569920524,0.0,0.0,nan,0.07451923000506866,0.087645394581237,-17.614466192519068,0.03725961500253433,0.0438226972906185,-17.614466192519068
normal_2intersection,J0,537517150#5_1,74.17821962405473,81.74909869602749,-10.20633699533771,2.80614159657405,2.780131128856114,0.9269121611572043,0.8538461373402522,1.1957142693655831,-40.038610831016584,0.3012820466970786,0.3957142812865121,-31.343465574760778
normal_2intersection,J0,537517150#5_2,71.13551672911032,75.71316931588309,-6.435115392785907,1.1944444729731634,1.5630952766963413,-30.86378748151826,0.9692307618948129,1.2085714272090367,-24.69387835424465,0.29743589499057865,0.33428571224212644,-12.389162798496468
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_0,29.476739345452724,18.388501954078674,37.616906203313135,0.0,0.0,nan,0.05480769238410852,0.06868235609893288,-25.315175865436203,0.02740384619205426,0.03434117804946644,-25.315175865436203
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_1,82.79886079445863,66.91205498831613,19.187227521861917,2.0879630003219996,2.2296605621065413,-6.78640195073809,1.5923076959756703,1.1635966206235544,26.923883897290818,0.4256410231957069,0.2996554497629404,29.599020434371802
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_2,67.35531880305363,58.03282620566232,13.840766791781068,2.3570674932920017,1.519572537285941,35.53122506629507,0.5538461483441867,0.48987604486090797,11.550157688110271,0.24999999541502732,0.1827951666499887,26.881931999027138
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_0,29.729236407157703,18.496732306480407,37.78268619766138,0.0,0.0,nan,0.08990384647861505,0.09852961670341236,-9.59443957367172,0.04495192323930752,0.04926480835170618,-9.59443957367172
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_1,92.88825401893028,74.032177734375,20.299742398767112,5.216244795383552,5.746084148543222,-10.157486351648709,3.0230769346921873,2.5045681725655284,17.151689266533797,0.4679487164203937,0.3522840913917337,24.71737200465995
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_2,89.73365636972281,69.57166489192417,22.468706050187798,4.566748759685418,3.7962137562888008,16.87272595766131,2.284615369943472,1.8190338208739247,20.378990494188397,0.4282051263711391,0.32023119955722773,25.21546804657516
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_3,89.73365636972281,69.0813372203282,23.01513165172098,4.400082093018752,3.7410700525556293,14.977266935740197,2.1923076923076925,1.7410873904292072,20.58197868217652,0.4282051263711391,0.3184008418183242,25.642916861682792
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_0,29.9490570410704,18.628715777397154,37.79865672615063,0.0,0.0,nan,0.118973613740542,0.13458359570109418,-13.120541160155463,0.059486806870271,0.06729179785054709,-13.120541160155463
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_1,30.078937775049454,20.390853187016077,32.20886542100454,0.0,0.0,nan,0.030256410535329428,0.041941996836768726,-38.621852674144606,0.015128205267664714,0.020970998418384363,-38.621852674144606
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_2,30.232663203508427,20.611956351143974,31.822227461747378,0.0,0.0,nan,0.0523076916161256,0.08594728854617902,-64.3109949812484,0.0261538458080628,0.04297364427308951,-64.3109949812484
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_0,29.597108107346756,18.37776710816792,37.90688251868063,0.0,0.0,nan,0.07154516923503998,0.0646796897851995,9.596007002633575,0.03577258461751999,0.03233984489259975,9.596007002633575
