Scenario,Avg_Delay_s,Avg_Saturation,Avg_Queue_Veh,Max_Queue_m,Avg_Inflow_PCU,Avg_Outflow_PCU,Total_Records
FT,49.6261246884664,0.6935674069623152,0.3449718909630408,55.06944274902344,111.58333333333333,134.58333333333334,75
AD,69.99578613758086,0.49448356886704764,0.31380955358651963,55.79166793823242,60.016666666666666,88.16666666666667,75
IN,65.55154194259644,0.320556491235892,0.16596391675411126,33.76388931274414,65.03333333333333,97.96666666666667,75
