scenario,tls_id,lane_id,fixed_delay,rl_delay,improve_delay_pct,fixed_queue,rl_queue,improve_queue_pct,fixed_saturation_raw,rl_saturation_raw,improve_saturation_raw_pct,fixed_saturation_norm,rl_saturation_norm,improve_saturation_norm_pct
normal_2intersection,J0,-156084515#1.87_0,21.9372438284067,18.049203092711313,17.723469575793903,0.0,0.0,nan,0.06490384691800827,0.09206738237823758,-41.85196525337622,0.032451923459004134,0.04603369118911879,-41.85196525337622
normal_2intersection,J0,156084437#5_0,29.632425039242474,12.86477095229285,56.5854939808135,0.0,0.0,nan,0.07692307787827957,0.07646908616381032,0.5901892214812691,0.03846153893913978,0.03823454308190516,0.5901892214812691
normal_2intersection,J0,156084437#5_1,19.23002406878349,18.020654344558714,6.288966253495079,0.0,0.0,nan,0.01333333303531011,0.00615805054881743,53.81461985154559,0.006666666517655055,0.003079025274408715,53.81461985154559
normal_2intersection,J0,156084437#5_2,25.55655953822992,6.115862607955933,76.06930385599343,0.0,0.0,nan,0.0302564103442889,0.028331939250762973,6.36054003639987,0.01512820517214445,0.014165969625381487,6.36054003639987
normal_2intersection,J0,156084447#6_0,28.45585536956787,14.951392769813538,47.45758798801278,0.0,0.0,nan,0.08164132386445999,0.09267972952553204,-13.520610811502621,0.040820661932229996,0.04633986476276602,-13.520610811502621
normal_2intersection,J0,156084447#6_1,30.040997407375237,15.975233456066677,46.8218939623334,0.0,0.0,nan,0.025175909105783854,0.02130362923656191,15.380893905167204,0.012587954552891927,0.010651814618280955,15.380893905167204
normal_2intersection,J0,156084447#6_2,29.864533082032814,15.635987404414585,47.6436234195754,0.0,0.0,nan,0.04923076851245684,0.05331193669033902,-8.289872982278391,0.02461538425622842,0.02665596834516951,-8.289872982278391
normal_2intersection,J0,537517150#5_0,14.471539644094614,8.004322441986629,44.689213180900595,0.0,0.0,nan,0.07451923000506866,0.08706207984526243,-16.83169544202299,0.03725961500253433,0.043531039922631215,-16.83169544202299
normal_2intersection,J0,537517150#5_1,57.30455555059971,68.03674850463867,-18.728341666593106,2.80614159657405,2.2856439794812884,18.548515788662424,0.8538461373402522,1.118571412563324,-31.003861661504533,0.3012820466970786,0.39785713723727634,-32.054711390519174
normal_2intersection,J0,537517150#5_2,39.798712021265274,46.83854212079729,-17.688587750705327,1.1944444729731634,1.5630952766963413,-30.86378748151826,0.9692307618948129,1.2085714272090367,-24.69387835424465,0.29743589499057865,0.33428571224212644,-12.389162798496468
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_0,7.406894855010203,3.9653836471693857,46.46361633597237,0.0,0.0,nan,0.05480769238410852,0.06744318721549851,-23.054236151445135,0.02740384619205426,0.033721593607749255,-23.054236151445135
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_1,59.898888123341095,45.198305702209474,24.542329384914197,2.0879630003219996,1.870059302874974,10.436185766386721,1.5923076959756703,1.0279778940337045,35.44100197268584,0.4256410231957069,0.2868460885116032,32.608448697457135
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1010526553#5_2,38.42903753427359,30.894558443341936,19.606213359394967,2.3570674932920017,1.166950477872576,50.49142711468338,0.5538461483441867,0.46868356061833244,15.376578492142928,0.24999999541502732,0.17219892452870098,31.120428925275807
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_0,20.917270831572704,10.810240195478713,48.3190695262135,0.0,0.0,nan,0.08990384647861505,0.09889688576970782,-10.002952758235875,0.04495192323930752,0.04944844288485391,-10.002952758235875
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_1,86.86194542126778,68.79108723231724,20.804114047077242,5.216244795383552,5.234675417627607,-0.3533312366851942,3.0230769346921873,2.358341417993818,21.988706574748594,0.4679487164203937,0.33559928110667636,28.282893118317233
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_2,68.03894541813777,48.89563214438302,28.135817150175196,4.566748759685418,3.603607249259949,21.090310877794284,2.284615369943472,1.654879860260657,27.564180735525586,0.4282051263711391,0.2960113597235509,30.871598331359447
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,1352445161#8.75_3,76.47577745486528,52.68251419067383,31.11215610489718,4.400082093018752,3.533964388711112,19.68412602305393,2.1923076923076925,1.6157941452094486,26.29710916588481,0.4282051263711391,0.2943256450550897,31.26526822568018
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_0,27.538533602005398,14.963739514350891,45.66254060361003,0.0,0.0,nan,0.118973613740542,0.13941584261400358,-17.18215344626083,0.059486806870271,0.06970792130700179,-17.18215344626083
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_1,26.97370279752291,16.312009613854546,39.526249932016995,0.0,0.0,nan,0.030256410535329428,0.043035544095827,-42.23611900551057,0.015128205267664714,0.0215177720479135,-42.23611900551057
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,477913073#10_2,29.510173895420174,19.217731639317105,34.87760625395841,0.0,0.0,nan,0.0523076916161256,0.09150553928422077,-74.93706270916975,0.0261538458080628,0.045752769642110384,-74.93706270916975
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_0,29.289415799654446,14.197588515281677,51.526556171703575,0.0,0.0,nan,0.07154516923503998,0.06632311889635666,7.298955882720549,0.03577258461751999,0.03316155944817833,7.298955882720549
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_1,15.746141629341322,7.638514763968331,51.489609684859296,0.0,0.0,nan,0.008717948523087379,0.01408673178936754,-61.58310354852677,0.004358974261543689,0.00704336589468377,-61.58310354852677
normal_2intersection,cluster5599998268_5599998291_7928757444_9323588912,833772151#2_2,23.569721173017452,12.151591171537127,48.44406057103368,0.0,0.0,nan,0.041025640395207286,0.03901100837226425,4.910665631384983,0.020512820197603643,0.019505504186132124,4.910665631384983
