metric,series,Nga ba_crowded,Nga ba_normal,Nga ba_few,Nga tu_crowded,Nga tu_normal,Nga tu_few,Nga nam_crowded,Nga nam_normal,Nga nam_few,Hai nga tu_crowded,Hai nga tu_normal,Hai nga tu_few
queue length,fixed time (Quang),8.0136,3.3817,0.8970,4.0985,3.6427,0.7611,23.4142,7.7770,1.7858,8.0985,2.8261,0.7043
queue length,AI,8.3799,3.0436,0.8970,3.5869,3.1398,0.8744,25.5334,7.6461,1.7858,7.8690,3.2124,0.9505
queue length,AI vs Fixed time,-4.57%,10.00%,0.00%,12.48%,13.81%,-14.89%,-9.05%,1.68%,0.00%,2.83%,-13.67%,-34.96%
avg wait time,fixed time (Quang),26.70s,16.84s,12.83s,9.77s,7.75s,6.36s,105.54s,50.73s,39.70s,10.54s,9.40s,8.92s
avg wait time,AI,29.37s,18.52s,14.11s,10.21s,8.53s,6.99s,109.56s,55.80s,43.67s,10.25s,12.62s,12.59s
avg wait time,AI vs Fixed time,-10.00%,-10.00%,-10.00%,-4.50%,-10.00%,-10.00%,-3.82%,-10.00%,-10.00%,2.75%,-34.26%,-41.14%
saturation,fixed time (Quang),0.2707,0.2046,0.1020,0.1418,0.1244,0.1118,0.4067,0.2704,0.1716,0.2681,0.1288,0.0248
saturation,AI,0.2490,0.1708,0.1267,0.1257,0.1077,0.0946,0.2238,0.1688,0.1288,0.2542,0.1169,0.0259
saturation,AI vs Fixed time,7.99%,16.49%,-24.18%,11.33%,13.43%,15.36%,44.97%,37.59%,24.92%,5.18%,9.24%,-4.44%
