Ep 071 | Reward:     12.0 | CriticLoss:   8.2039 | ActorLoss:  -0.0167
Ep 072 | Reward:     70.0 | CriticLoss:   8.8578 | ActorLoss:  -0.0186
Ep 073 | Reward:     81.2 | CriticLoss:  11.1594 | ActorLoss:  -0.0197
Ep 074 | Reward:    -12.4 | CriticLoss:  18.7172 | ActorLoss:  -0.0171
Ep 075 | Reward:     33.8 | CriticLoss:   4.0323 | ActorLoss:  -0.0175
Ep 076 | Reward:     66.1 | CriticLoss:   5.2102 | ActorLoss:  -0.0186
Ep 077 | Reward:      0.6 | CriticLoss:  10.4833 | ActorLoss:  -0.0179
Ep 078 | Reward:     -6.9 | CriticLoss:   8.3630 | ActorLoss:  -0.0198
Ep 079 | Reward:     11.3 | CriticLoss:   2.5429 | ActorLoss:  -0.0187
Ep 080 | Reward:     76.4 | CriticLoss:  16.7079 | ActorLoss:  -0.0194
Ep 081 | Reward:     32.4 | CriticLoss:   2.8365 | ActorLoss:  -0.0173
Ep 082 | Reward:     66.9 | CriticLoss:   7.6305 | ActorLoss:  -0.0175
Ep 083 | Reward:     81.7 | CriticLoss:   8.4903 | ActorLoss:  -0.0193
Ep 084 | Reward:      6.9 | CriticLoss:   6.1197 | ActorLoss:  -0.0179
Ep 085 | Reward:     67.6 | CriticLoss:   5.6000 | ActorLoss:  -0.0189
Ep 086 | Reward:     38.0 | CriticLoss:   4.3807 | ActorLoss:  -0.0196
Ep 087 | Reward:     -6.8 | CriticLoss:   9.0996 | ActorLoss:  -0.0176
Ep 088 | Reward:     92.4 | CriticLoss:   8.2942 | ActorLoss:  -0.0197
Ep 089 | Reward:     14.7 | CriticLoss:   4.1474 | ActorLoss:  -0.0178
Ep 090 | Reward:      3.7 | CriticLoss:   2.8000 | ActorLoss:  -0.0178
Ep 091 | Reward:      7.0 | CriticLoss:   1.3041 | ActorLoss:  -0.0190
Ep 092 | Reward:     23.8 | CriticLoss:   1.0377 | ActorLoss:  -0.0172
Ep 093 | Reward:     31.6 | CriticLoss:   0.9609 | ActorLoss:  -0.0184
Ep 094 | Reward:     69.8 | CriticLoss:   8.0659 | ActorLoss:  -0.0210
Ep 095 | Reward:     19.1 | CriticLoss:   0.7551 | ActorLoss:  -0.0199
Ep 096 | Reward:     -8.5 | CriticLoss:   4.5018 | ActorLoss:  -0.0173
Ep 097 | Reward:     59.6 | CriticLoss:   7.5939 | ActorLoss:  -0.0211
Ep 098 | Reward:     59.8 | CriticLoss:   4.5706 | ActorLoss:  -0.0227
Ep 099 | Reward:    -13.1 | CriticLoss:   7.0770 | ActorLoss:  -0.0169
Ep 100 | Reward:     17.7 | CriticLoss:   1.9410 | ActorLoss:  -0.0172
Ep 101 | Reward:     57.1 | CriticLoss:   8.0804 | ActorLoss:  -0.0256
Ep 102 | Reward:     29.3 | CriticLoss:   1.7800 | ActorLoss:  -0.0180
Ep 103 | Reward:     38.3 | CriticLoss:   2.4666 | ActorLoss:  -0.0224
Ep 104 | Reward:     18.9 | CriticLoss:   1.0986 | ActorLoss:  -0.0194
Ep 105 | Reward:     24.5 | CriticLoss:   1.1000 | ActorLoss:  -0.0208
Ep 106 | Reward:     29.0 | CriticLoss:   2.0581 | ActorLoss:  -0.0183
Ep 107 | Reward:     79.7 | CriticLoss:  11.4953 | ActorLoss:  -0.0228
Ep 108 | Reward:     67.1 | CriticLoss:   5.9586 | ActorLoss:  -0.0255
Ep 109 | Reward:     89.1 | CriticLoss:  10.1285 | ActorLoss:  -0.0169
Ep 110 | Reward:     21.9 | CriticLoss:   4.2901 | ActorLoss:  -0.0262
Ep 111 | Reward:     53.3 | CriticLoss:   2.2172 | ActorLoss:  -0.0231
Ep 112 | Reward:     74.6 | CriticLoss:  14.0694 | ActorLoss:  -0.0289
Ep 113 | Reward:     63.2 | CriticLoss:   8.4071 | ActorLoss:  -0.0228
Ep 114 | Reward:     56.3 | CriticLoss:   4.5980 | ActorLoss:  -0.0300
Ep 115 | Reward:     67.4 | CriticLoss:   6.9375 | ActorLoss:  -0.0317
Ep 116 | Reward:     56.0 | CriticLoss:   3.3045 | ActorLoss:  -0.0206
Ep 117 | Reward:     43.2 | CriticLoss:   4.2465 | ActorLoss:  -0.0139
Ep 118 | Reward:     62.5 | CriticLoss:   7.2741 | ActorLoss:  -0.0273
Ep 119 | Reward:     65.0 | CriticLoss:  11.4975 | ActorLoss:   0.0665
Ep 120 | Reward:     78.6 | CriticLoss:   6.7955 | ActorLoss:  -0.0235
Ep 121 | Reward:     65.2 | CriticLoss:   3.7961 | ActorLoss:  -0.0253
Ep 122 | Reward:     54.7 | CriticLoss:   3.6962 | ActorLoss:  -0.0180
Ep 123 | Reward:     -1.7 | CriticLoss:   8.2979 | ActorLoss:  -0.0200
Ep 124 | Reward:     71.3 | CriticLoss:   6.3047 | ActorLoss:   0.0233
Ep 125 | Reward:     71.5 | CriticLoss:   6.6217 | ActorLoss:  -0.0262
Ep 126 | Reward:     63.4 | CriticLoss:   7.7444 | ActorLoss:  -0.0229
Ep 127 | Reward:    -18.7 | CriticLoss:  15.0765 | ActorLoss:  -0.0187
Ep 128 | Reward:      5.7 | CriticLoss:   4.9505 | ActorLoss:  -0.0149
Ep 129 | Reward:     53.7 | CriticLoss:   8.8712 | ActorLoss:  -0.0202
Ep 130 | Reward:     57.0 | CriticLoss:   3.4881 | ActorLoss:  -0.0256
Ep 131 | Reward:     65.6 | CriticLoss:   6.0733 | ActorLoss:  -0.0150
Ep 132 | Reward:     87.1 | CriticLoss:   6.2180 | ActorLoss:  -0.0258
Ep 133 | Reward:     44.5 | CriticLoss:   3.6791 | ActorLoss:  -0.0199
Ep 134 | Reward:     51.5 | CriticLoss:   4.1568 | ActorLoss:  -0.0229
Ep 135 | Reward:     12.3 | CriticLoss:   3.2655 | ActorLoss:  -0.0193
Ep 136 | Reward:     43.0 | CriticLoss:   2.3330 | ActorLoss:  -0.0231
Ep 137 | Reward:     88.7 | CriticLoss:  12.7341 | ActorLoss:   0.0372
Ep 138 | Reward:     42.0 | CriticLoss:   1.1356 | ActorLoss:  -0.0245
Ep 139 | Reward:     45.1 | CriticLoss:   2.4401 | ActorLoss:  -0.0264
Ep 140 | Reward:     71.5 | CriticLoss:   2.6035 | ActorLoss:  -0.0181
Ep 141 | Reward:     70.5 | CriticLoss:   3.2881 | ActorLoss:   0.1231
Ep 142 | Reward:     68.6 | CriticLoss:   5.2728 | ActorLoss:  -0.0096
Ep 143 | Reward:     36.0 | CriticLoss:   1.3029 | ActorLoss:  -0.0245
Ep 144 | Reward:     86.1 | CriticLoss:   7.3531 | ActorLoss:  -0.0302
Ep 145 | Reward:     34.7 | CriticLoss:   2.2902 | ActorLoss:  -0.0105
Ep 146 | Reward:      0.1 | CriticLoss:   5.1116 | ActorLoss:  -0.0190
Ep 147 | Reward:     68.2 | CriticLoss:  12.9159 | ActorLoss:  -0.0242
Ep 148 | Reward:     39.1 | CriticLoss:   1.7073 | ActorLoss:  -0.0199
Ep 149 | Reward:     89.5 | CriticLoss:  11.0948 | ActorLoss:  -0.0243
Ep 150 | Reward:    -11.6 | CriticLoss:  12.0148 | ActorLoss:  -0.0187
Ep 151 | Reward:    -11.7 | CriticLoss:   8.4361 | ActorLoss:  -0.0190
Ep 152 | Reward:     31.7 | CriticLoss:   1.0553 | ActorLoss:  -0.0211
Ep 153 | Reward:      1.6 | CriticLoss:   3.2660 | ActorLoss:  -0.0187
Ep 154 | Reward:     41.9 | CriticLoss:   1.9491 | ActorLoss:  -0.0185
Ep 155 | Reward:     65.9 | CriticLoss:  11.2298 | ActorLoss:  -0.0199
Ep 156 | Reward:     55.1 | CriticLoss:   2.9577 | ActorLoss:  -0.0191
Ep 157 | Reward:     68.3 | CriticLoss:   2.1017 | ActorLoss:  -0.0244
Ep 158 | Reward:     49.5 | CriticLoss:   1.5411 | ActorLoss:  -0.0228
Ep 159 | Reward:     53.7 | CriticLoss:   7.7818 | ActorLoss:  -0.0198
Ep 160 | Reward:     52.2 | CriticLoss:   2.7902 | ActorLoss:  -0.0193
Ep 161 | Reward:     31.3 | CriticLoss:   1.5078 | ActorLoss:  -0.0170
Ep 162 | Reward:     52.5 | CriticLoss:   3.2877 | ActorLoss:  -0.0182
Ep 163 | Reward:     17.1 | CriticLoss:   2.0084 | ActorLoss:  -0.0177
Ep 164 | Reward:     67.4 | CriticLoss:   4.7085 | ActorLoss:  -0.0187
Ep 165 | Reward:      5.8 | CriticLoss:   3.9466 | ActorLoss:  -0.0180
Ep 166 | Reward:     19.7 | CriticLoss:   1.7333 | ActorLoss:  -0.0173
Ep 167 | Reward:     80.0 | CriticLoss:   5.1138 | ActorLoss:  -0.0190
Ep 168 | Reward:     53.6 | CriticLoss:   2.0876 | ActorLoss:  -0.0187
Ep 169 | Reward:     38.8 | CriticLoss:   2.4077 | ActorLoss:  -0.0203
Ep 170 | Reward:     -3.0 | CriticLoss:   7.2052 | ActorLoss:  -0.0162
