Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-88.57,505.6315,3.31,41.0,27.6
2,-88.57,503.7403,3.26,50.0,27.6
3,-88.57,501.9308,7.81,79.2,27.6
4,-88.57,500.0768,3.55,60.8,27.6
5,-88.57,498.2727,3.34,62.9,27.7
6,-88.57,496.4787,3.1,42.9,27.1
